Round: 1
Created: AI0 2071
Created: AI1 785
Created: AI2 3475
Created: AI3 2917
Created: AI4 2202
Created: AI5 2802
Created: AI6 4914
Created: AI7 4667
Created: AI8 1366
Created: AI9 1604
Created: AI10 4881
Created: AI11 1845
Created: AI12 3968
Created: AI13 2227
Created: AI14 618
Created: AI15 3909
Created: AI16 4252
Created: AI17 622
Created: AI18 639
Created: AI19 2713
Created: AI20 1077
Created: AI21 4122
Created: AI22 170
Created: AI23 3608
Created: AI24 307
Created: AI25 3949
Created: AI26 2079
Created: AI27 3852
Created: AI28 3273
Created: AI29 4822
Created: AI30 2756
Created: AI31 1849
Created: AI32 4239
Created: AI33 2046
Created: AI34 2244
Created: AI35 4330
Created: AI36 3808
Created: AI37 593
Created: AI38 4349
Created: AI39 1443
Created: AI40 3477
Created: AI41 3036
Created: AI42 4260
Created: AI43 2469
Created: AI44 2593
Created: AI45 3898
Created: AI46 291
Created: AI47 3729
Created: AI48 4833
Created: AI49 4242
Created: AI50 2371
Created: AI51 2592
Created: AI52 1731
Created: AI53 4957
Created: AI54 2229
Created: AI55 3853
Created: AI56 129
Created: AI57 4487
Created: AI58 778
Created: AI59 2275
Created: AI60 2446
Created: AI61 3102
Created: AI62 4741
Created: AI63 2951
Created: AI64 1131
Created: AI65 1524
Created: AI66 3459
Created: AI67 3448
Created: AI68 730
Created: AI69 2358
Created: AI70 2070
Created: AI71 2398
Created: AI72 3673
Created: AI73 2858
Created: AI74 2423
Created: AI75 4959
Created: AI76 4363
Created: AI77 4983
Created: AI78 2842
Created: AI79 1829
Created: AI80 1185
Created: AI81 1928
Created: AI82 705
Created: AI83 1544
Created: AI84 3456
Created: AI85 2318
Created: AI86 1982
Created: AI87 282
Created: AI88 3055
Created: AI89 1079
Created: AI90 1628
Created: AI91 4851
Created: AI92 1145
Created: AI93 4307
Created: AI94 2287
Created: AI95 2568
Created: AI96 320
Created: AI97 4003
Created: AI98 3416
Created: AI99 639
Created: Zombine 15
Created: Zombone 4
Created: DocZom 100
Round: 2
Moved: AI0 1979
Moved: AI1 781
Moved: AI2 3420
Moved: AI3 2829
Moved: AI4 2073
Moved: AI5 2680
Moved: AI6 4786
Moved: AI7 4612
Moved: AI8 1255
Moved: AI9 1509
Moved: AI10 4873
Moved: AI11 1784
Moved: AI12 3947
Moved: AI13 2119
Moved: AI14 574
Moved: AI15 3867
Moved: AI16 4188
Moved: AI17 598
Moved: AI18 593
Moved: AI19 2661
Moved: AI20 1050
Moved: AI21 4042
Moved: AI23 3592
Moved: AI25 3831
Moved: AI26 1968
Moved: AI27 3834
Moved: AI28 3267
Moved: AI29 4801
Moved: AI30 2700
Moved: AI31 1766
Moved: AI32 4137
Moved: AI33 1941
Moved: AI34 2174
Moved: AI35 4329
Moved: AI36 3769
Moved: AI37 475
Moved: AI38 4341
Moved: AI39 1411
Moved: AI40 3374
Moved: AI41 2952
Moved: AI42 4236
Moved: AI43 2448
Moved: AI44 2510
Moved: AI45 3837
Moved: AI46 289
Moved: AI47 3617
Moved: AI48 4779
Moved: AI49 4190
Moved: AI50 2353
Moved: AI51 2533
Moved: AI52 1663
Moved: AI53 4876
Moved: AI54 2150
Moved: AI55 3781
Moved: AI56 112
Moved: AI57 4355
Moved: AI58 748
Moved: AI59 2256
Moved: AI60 2403
Moved: AI61 3057
Moved: AI62 4727
Moved: AI63 2847
Moved: AI64 1063
Moved: AI65 1521
Moved: AI66 3355
Moved: AI67 3424
Moved: AI68 676
Moved: AI69 2324
Moved: AI70 2044
Moved: AI71 2370
Moved: AI72 3653
Moved: AI73 2766
Moved: AI74 2367
Moved: AI75 4856
Moved: AI76 4330
Moved: AI77 4880
Moved: AI78 2762
Moved: AI79 1808
Moved: AI80 1138
Moved: AI81 1830
Moved: AI82 691
Moved: AI83 1465
Moved: AI84 3322
Moved: AI85 2250
Moved: AI86 1891
Moved: AI88 3011
Moved: AI89 1055
Moved: AI90 1627
Moved: AI91 4758
Moved: AI92 1057
Moved: AI93 4215
Moved: AI94 2187
Moved: AI95 2564
Moved: AI97 3982
Moved: AI98 3384
Moved: AI99 568
Moved: DocZom 99
Created: AI100 771
Created: AI101 1108
Created: AI102 4598
Created: AI103 4466
Created: AI104 559
Created: AI105 338
Created: AI106 270
Created: AI107 2937
Created: AI108 1563
Created: AI109 3749
Created: AI110 3401
Created: AI111 2694
Created: AI112 2748
Created: AI113 4117
Created: AI114 2217
Created: AI115 2519
Created: AI116 1477
Created: AI117 3332
Created: AI118 4530
Created: AI119 1921
Created: AI120 3347
Created: AI121 4583
Created: AI122 1839
Created: AI123 156
Created: AI124 1286
Created: AI125 3373
Created: AI126 2930
Created: AI127 2768
Created: AI128 3267
Created: AI129 892
Created: AI130 3292
Created: AI131 2589
Created: AI132 1242
Created: AI133 200
Created: AI134 2578
Created: AI135 2988
Created: AI136 417
Created: AI137 3782
Created: AI138 3722
Created: AI139 449
Created: AI140 413
Created: AI141 2016
Created: AI142 2951
Created: AI143 2317
Created: AI144 4230
Created: AI145 2259
Created: AI146 273
Created: AI147 4750
Created: AI148 4021
Created: AI149 1672
Created: MrBonyPants 20
Round: 3
Moved: AI0 1893
Moved: AI1 776
Moved: AI2 3381
Moved: AI3 2747
Moved: AI4 1952
Moved: AI5 2549
Moved: AI6 4683
Moved: AI7 4553
Moved: AI8 1152
Moved: AI9 1383
Moved: AI10 4862
Moved: AI11 1735
Moved: AI12 3922
Moved: AI13 2028
Moved: AI14 521
Moved: AI15 3806
Moved: AI16 4123
Moved: AI17 577
Moved: AI18 543
Moved: AI19 2613
Moved: AI20 1022
Moved: AI21 3965
Moved: AI23 3577
Moved: AI25 3707
Moved: AI26 1844
Moved: AI27 3815
Moved: AI28 3261
Moved: AI29 4782
Moved: AI30 2653
Moved: AI31 1677
Moved: AI32 4010
Moved: AI33 1806
